time,flex_load_kwh,ev_demand_kwh,pv_gen_kwh,pv_used_kwh,batt_discharge_kwh,batt_charge_kwh,bess_soc_kwh,grid_energy_kwh,grid_cost_pln,co2_emission_kg
2024-08-26 06:00:00+02:00,,0,0,0,0,0,0,0,0,0
2024-08-26 07:00:00+02:00,345.508653045,0,14.70000029,14.70000029,0,0,0,0,0,0
2024-08-26 08:00:00+02:00,346.508653045,0,149.7000046,149.7000046,0,0,0,0,0,0
2024-08-26 09:00:00+02:00,347.508653045,0,287.1000137,287.1000137,0,0,0,0,0,0
2024-08-26 10:00:00+02:00,348.508653045,0,376.5,376.5,0,0,0,0,0,0
2024-08-26 11:00:00+02:00,349.508653045,0,787.5,787.5,0,0,0,0,0,0
2024-08-26 12:00:00+02:00,350.508653045,0,1202.100037,1202.100037,0,0,0,0,0,0
2024-08-26 13:00:00+02:00,351.508653045,0,1655.399963,1655.399963,0,0,0,0,0,0
2024-08-26 14:00:00+02:00,352.508653045,0,1926.30011,1926.30011,0,0,0,0,0,0
2024-08-26 15:00:00+02:00,353.508653045,33.3333333333333,2226.600037,2226.600037,0,0,0,0,0,0
2024-08-26 16:00:00+02:00,354.508653045,83.3333333333333,1913.399963,1913.399963,0,0,0,0,0,0
2024-08-26 17:00:00+02:00,355.508653045,83.3333333333333,1825.80011,1825.80011,0,0,0,0,0,0
2024-08-26 18:00:00+02:00,356.508653045,83.3333333333333,1351.800018,1351.800018,0,0,0,0,0,0
2024-08-26 19:00:00+02:00,357.508653045,83.3333333333333,748.8000183,748.8000183,0,0,0,0,0,0
2024-08-26 20:00:00+02:00,358.508653045,33.3333333333333,180.3000069,180.3000069,0,0,0,0,0,0
2024-08-26 21:00:00+02:00,359.508653045,0,9.899999857,9.899999857,0,0,0,0,0,0
2024-08-26 22:00:00+02:00,360.508653045,0,6,6,0,0,0,0,0,0
2024-08-26 23:00:00+02:00,361.508653045,0,0,0,0,0,0,0,0,0
2024-08-27 00:00:00+02:00,362.508653045,0,0,0,0,0,0,0,0,0
2024-08-27 01:00:00+02:00,363.508653045,0,0,0,0,0,0,0,0,0
2024-08-27 02:00:00+02:00,364.508653045,0,0,0,0,0,0,0,0,0
2024-08-27 03:00:00+02:00,365.508653045,0,0,0,0,0,0,0,0,0
2024-08-27 04:00:00+02:00,366.508653045,0,0,0,0,0,0,0,0,0
2024-08-27 05:00:00+02:00,367.508653045,0,0,0,0,0,0,0,0,0
2024-08-27 06:00:00+02:00,368.508653045,0,0,0,0,0,0,0,0,0
2024-08-27 07:00:00+02:00,369.508653045,0,15.29999971,15.29999971,0,0,0,0,0,0
2024-08-27 08:00:00+02:00,370.508653045,0,106.5,106.5,0,0,0,0,0,0
2024-08-27 09:00:00+02:00,371.508653045,0,235.7999954,235.7999954,0,0,0,0,0,0
2024-08-27 10:00:00+02:00,372.508653045,0,240,240,0,0,0,0,0,0
2024-08-27 11:00:00+02:00,373.508653045,0,653.7000275,653.7000275,0,0,0,0,0,0
2024-08-27 12:00:00+02:00,374.508653045,0,1157.100037,1157.100037,0,0,0,0,0,0
2024-08-27 13:00:00+02:00,375.508653045,0,1662.899963,1662.899963,0,0,0,0,0,0
2024-08-27 14:00:00+02:00,376.508653045,0,1933.80011,1933.80011,0,0,0,0,0,0
2024-08-27 15:00:00+02:00,377.508653045,33.3333333333333,2133,2133,0,0,0,0,0,0
2024-08-27 16:00:00+02:00,378.508653045,83.3333333333333,2105.100037,2105.100037,0,0,0,0,0,0
2024-08-27 17:00:00+02:00,379.508653045,83.3333333333333,1835.700073,1835.700073,0,0,0,0,0,0
2024-08-27 18:00:00+02:00,380.508653045,83.3333333333333,1377.600037,1377.600037,0,0,0,0,0,0
2024-08-27 19:00:00+02:00,381.508653045,83.3333333333333,767.0999908,767.0999908,0,0,0,0,0,0
2024-08-27 20:00:00+02:00,382.508653045,33.3333333333333,198,198,0,0,0,0,0,0
2024-08-27 21:00:00+02:00,383.508653045,0,7.800000429,7.800000429,0,0,0,0,0,0
2024-08-27 22:00:00+02:00,384.508653045,0,6,6,0,0,0,0,0,0
2024-08-27 23:00:00+02:00,385.508653045,0,0,0,0,0,0,0,0,0
2024-08-28 00:00:00+02:00,386.508653045,0,0,0,0,0,0,0,0,0
2024-08-28 01:00:00+02:00,387.508653045,0,0,0,0,0,0,0,0,0
2024-08-28 02:00:00+02:00,388.508653045,0,0,0,0,0,0,0,0,0
2024-08-28 03:00:00+02:00,389.508653045,0,0,0,0,0,0,0,0,0
2024-08-28 04:00:00+02:00,390.508653045,0,0,0,0,0,0,0,0,0
2024-08-28 05:00:00+02:00,391.508653045,0,0,0,0,0,0,0,0,0
2024-08-28 06:00:00+02:00,392.508653045,0,4.800000072,4.800000072,0,0,0,0,0,0
2024-08-28 07:00:00+02:00,393.508653045,0,13.79999971,13.79999971,0,0,0,0,0,0
2024-08-28 08:00:00+02:00,394.508653045,0,109.2000046,109.2000046,0,0,0,0,0,0
2024-08-28 09:00:00+02:00,395.508653045,0,272.4000092,272.4000092,0,0,0,0,0,0
2024-08-28 10:00:00+02:00,396.508653045,0,345,345,0,0,0,0,0,0
